08:58:15 - Peer Peer 4 listening on 127.0.0.1:5004 -- caching: True
08:58:18 - Peer cache hit on trader request took 0.005771160125732422 seconds
08:58:38 - Peer cache hit on trader request took 0.008502960205078125 seconds
08:58:58 - Peer cache hit on trader request took 0.006195068359375 seconds
08:59:18 - Peer cache hit on trader request took 0.0044040679931640625 seconds
08:59:38 - Peer cache hit on trader request took 0.006558895111083984 seconds
08:59:58 - Peer cache hit on trader request took 0.004249095916748047 seconds
09:00:18 - Peer cache hit on trader request took 0.007761955261230469 seconds
09:00:38 - Peer cache hit on trader request took 0.006600856781005859 seconds
09:00:58 - Peer cache hit on trader request took 0.011198997497558594 seconds
09:01:18 - Peer cache hit on trader request took 0.005287885665893555 seconds
09:01:38 - Peer cache hit on trader request took 0.0044078826904296875 seconds
09:01:58 - Peer cache hit on trader request took 0.003290891647338867 seconds
09:02:18 - Peer cache hit on trader request took 0.004385232925415039 seconds
09:02:38 - Peer cache hit on trader request took 0.0041048526763916016 seconds
09:02:58 - Peer cache hit on trader request took 0.003963947296142578 seconds
09:03:18 - Peer cache hit on trader request took 0.005263805389404297 seconds
09:03:38 - Peer cache hit on trader request took 0.003747224807739258 seconds
09:03:58 - Peer cache hit on trader request took 0.003454923629760742 seconds
09:04:18 - Peer cache hit on trader request took 0.004527091979980469 seconds
09:04:38 - Peer cache hit on trader request took 0.002780914306640625 seconds
09:04:58 - Peer cache hit on trader request took 0.006074190139770508 seconds
09:05:18 - Peer cache hit on trader request took 0.006636619567871094 seconds
09:05:38 - Peer cache hit on trader request took 0.0033936500549316406 seconds
09:05:58 - Peer cache hit on trader request took 0.00150299072265625 seconds
09:06:18 - Peer cache hit on trader request took 0.004889965057373047 seconds
09:06:38 - Peer cache hit on trader request took 0.004785299301147461 seconds
09:06:58 - Peer cache hit on trader request took 0.005352020263671875 seconds
09:07:18 - Peer cache hit on trader request took 0.003982067108154297 seconds
09:07:38 - Peer cache hit on trader request took 0.0040340423583984375 seconds
09:07:58 - Peer cache hit on trader request took 0.005852937698364258 seconds
09:08:18 - Peer cache hit on trader request took 0.004083156585693359 seconds
09:08:38 - Peer cache hit on trader request took 0.009326934814453125 seconds
09:08:58 - Peer cache hit on trader request took 0.0057849884033203125 seconds
09:09:18 - Peer cache hit on trader request took 0.005776166915893555 seconds
09:09:38 - Peer cache hit on trader request took 0.005809783935546875 seconds
09:09:58 - Peer cache hit on trader request took 0.0043981075286865234 seconds
09:10:18 - Peer cache hit on trader request took 0.004987001419067383 seconds
09:10:38 - Peer cache hit on trader request took 0.004181861877441406 seconds
09:10:58 - Peer cache hit on trader request took 0.0068972110748291016 seconds
09:11:18 - Peer cache hit on trader request took 0.004137992858886719 seconds
09:11:38 - Peer cache hit on trader request took 0.005675077438354492 seconds
09:11:58 - Peer cache hit on trader request took 0.0038242340087890625 seconds
09:12:18 - Peer cache hit on trader request took 0.0076999664306640625 seconds
09:12:38 - Peer cache hit on trader request took 0.008211851119995117 seconds
09:12:58 - Peer cache hit on trader request took 0.00421905517578125 seconds
09:13:18 - Peer cache hit on trader request took 0.004415988922119141 seconds
09:13:38 - Peer cache hit on trader request took 0.0030488967895507812 seconds
09:13:58 - Peer cache hit on trader request took 0.0039272308349609375 seconds
